"original_path","original_name","new_folder_name","kind","stage","base","method","adapter","quant","ctx","rows","run_id","reason","evidence"
"I:\Stage_17_shuffle_wer_acft_checkpoints_partialctx_tiny_en_14","Stage_17_shuffle_wer_acft_checkpoints_partialctx_tiny_en_14","RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-full__a-full__q-noqat__c-dyn__r-46760__id-14","train_eval","17","openai-tiny-en","s17-full","full","noqat","dyn","46760","14","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=46760 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_17_shuffle_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_15","Stage_17_shuffle_wer_acft_qat6_0_checkpoints_partialctx_tiny_en_15","RUN__k-train-eval__s-17__b-openai-tiny-en__m-s17-qat-full__a-full__q-qat__c-dyn__r-38560__id-15","train_eval","17","openai-tiny-en","s17-qat-full","full","qat","dyn","38560","15","renamed using artifact/log-based canonical nomenclature","script=stage_17_WER_acft_Whisper_Futo_finetuned_model_training_only_local_en_version_only_qat.py | rows=38560 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_18_shuffle_checkpoints_partialctx_tiny_en_13","Stage_18_shuffle_checkpoints_partialctx_tiny_en_13","RUN__k-train-only__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-13","train_only","18","futo-tiny-en","s18-full","full","noqat","dyn","26059","13","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=26059 | base_hint=Loading student from base: futo-org/acft-whisper-tiny.en"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_12","Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_12","RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-26059__id-12","train_eval","18","futo-tiny-en","s18-full","full","noqat","dyn","26059","12","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=26059 | base_hint=Loading student from base: futo-org/acft-whisper-tiny.en"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_7","Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_7","RUN__k-partial__s-18__b-futo-tiny-en__m-s18-full__a-unk__q-noqat__c-dyn__r-112987__id-7","partial","18","futo-tiny-en","s18-full","unk","noqat","dyn","112987","7","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=112987 | base_hint=Loading student from base: futo-org/acft-whisper-tiny.en"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_8","Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx_tiny_en_8","RUN__k-train-eval__s-18__b-futo-tiny-en__m-s18-full__a-full__q-noqat__c-dyn__r-112987__id-8","train_eval","18","futo-tiny-en","s18-full","full","noqat","dyn","112987","8","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=112987 | base_hint=Loading student from base: futo-org/acft-whisper-tiny.en"
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx4","Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx4","RUN__k-eval-only__s-18__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-4","eval_only","18","unk","eval-only","unk","unk","dyn","unk","4","renamed using artifact/log-based canonical nomenclature",""
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx5","Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx5","RUN__k-eval-only__s-18__b-unk__m-eval-only__a-unk__q-unk__c-dyn__r-unk__id-5","eval_only","18","unk","eval-only","unk","unk","dyn","unk","5","renamed using artifact/log-based canonical nomenclature",""
"I:\Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx6","Stage_18_shuffle_Dynamic_n_ctx_checkpoints_partialctx6","RUN__k-eval-only__s-18__b-unk__m-eval-only__a-unk__q-noqat__c-dyn__r-56098__id-6","eval_only","18","unk","eval-only","unk","noqat","dyn","56098","6","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=56098"
"I:\Stage_18_shuffle_Dynamic_n_ctx_stage_7_9_checkpoints_partialctx_tiny_en_9","Stage_18_shuffle_Dynamic_n_ctx_stage_7_9_checkpoints_partialctx_tiny_en_9","RUN__k-train-only__s-18__b-futo-tiny-en__m-s18-full__a-unk__q-noqat__c-dyn__r-34259__id-9","train_only","18","futo-tiny-en","s18-full","unk","noqat","dyn","34259","9","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=34259 | base_hint=Loading student from base: futo-org/acft-whisper-tiny.en"
"I:\Stage_18_shuffle_Dynamic_n_ctx_stage_7_checkpoints_partialctx_tiny_en_10","Stage_18_shuffle_Dynamic_n_ctx_stage_7_checkpoints_partialctx_tiny_en_10","RUN__k-train-only__s-18__b-futo-tiny-en__m-s18-full__a-unk__q-noqat__c-dyn__r-34259__id-10","train_only","18","futo-tiny-en","s18-full","unk","noqat","dyn","34259","10","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=34259 | base_hint=Loading student from base: futo-org/acft-whisper-tiny.en"
"I:\Stage_18_shuffle_Dynamic_n_ctx_stage_7_checkpoints_partialctx_tiny_en_11","Stage_18_shuffle_Dynamic_n_ctx_stage_7_checkpoints_partialctx_tiny_en_11","RUN__k-misc__s-18__b-openai-tiny-en__m-unk__a-unk__q-unk__c-dyn__r-unk__id-11","misc","18","openai-tiny-en","unk","unk","unk","dyn","unk","11","renamed using artifact/log-based canonical nomenclature",""
"I:\Stage_18_shuffle_n_ctx_stage_7_checkpoints_partialctx_tiny_en_11","Stage_18_shuffle_n_ctx_stage_7_checkpoints_partialctx_tiny_en_11","RUN__k-train-eval__s-18__b-openai-tiny-en__m-s18-full__a-full__q-noqat__c-static__r-34259__id-11","train_eval","18","openai-tiny-en","s18-full","full","noqat","static","34259","11","renamed using artifact/log-based canonical nomenclature","script=stage_18_WER_training_Whisper_Futo_finetuned_model_training_only_local_en_version_only.py | rows=34259 | base_hint=Loading student from base: openai/whisper-tiny.en"
"I:\Stage_19e_edge_eval_20260315_full_pct100","Stage_19e_edge_eval_20260315_full_pct100","RUN__k-eval-only__s-19e__b-unk__m-eval-only__a-unk__q-unk__c-unk__r-unk__id-20260315","eval_only","19e","unk","eval-only","unk","unk","unk","unk","20260315","renamed using artifact/log-based canonical nomenclature",""
"I:\Stage_19e_edge_eval_full100_20260315","Stage_19e_edge_eval_full100_20260315","RUN__k-eval-only__s-19e__b-unk__m-eval-only__a-unk__q-unk__c-unk__r-unk__id-20260315__u-1","eval_only","19e","unk","eval-only","unk","unk","unk","unk","20260315","renamed using artifact/log-based canonical nomenclature",""
"I:\Stage_2_shuffle_Dynamic_n_ctx_stage_7_checkpoints_partialctx_tiny_en_11","Stage_2_shuffle_Dynamic_n_ctx_stage_7_checkpoints_partialctx_tiny_en_11","RUN__k-misc__s-2__b-openai-tiny-en__m-unk__a-unk__q-unk__c-dyn__r-unk__id-11","misc","2","openai-tiny-en","unk","unk","unk","dyn","unk","11","renamed using artifact/log-based canonical nomenclature",""
